segment,streak_id,year,team,streak_len,start_date,end_date,year_std,team_std,date_std,Rank,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,GO,FO,BB,HP,IB,SO,GDP,SH,SF,AVG_,OBP,SLG,OPS,Year_,row_order
streak,15,2022,삼성,13,2022-06-30,2022-07-23,2022,삼성,2022-07-22,6,0.22,1,44.0,41.0,2.0,9.0,4.0,0.0,0.0,13.0,2.0,0.0,0.0,12.0,9.0,3.0,0.0,0.0,9.0,0.0,0.0,0.0,0.22,0.273,0.317,0.59,2022,85
streak,15,2022,삼성,13,2022-06-30,2022-07-23,2022,삼성,2022-07-23,8,0.129,1,33.0,31.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,8.0,11.0,2.0,0.0,0.0,8.0,0.0,0.0,0.0,0.129,0.182,0.129,0.311,2022,86
streak,16,2022,롯데,6,2022-05-24,2022-05-29,2022,롯데,2022-05-24,6,0.259,1,32.0,27.0,2.0,7.0,0.0,0.0,0.0,7.0,1.0,0.0,2.0,7.0,6.0,5.0,0.0,0.0,6.0,2.0,0.0,0.0,0.259,0.375,0.259,0.634,2022,43
streak,16,2022,롯데,6,2022-05-24,2022-05-29,2022,롯데,2022-05-25,10,0.125,1,25.0,24.0,1.0,3.0,0.0,0.0,1.0,6.0,1.0,0.0,0.0,7.0,5.0,1.0,0.0,0.0,8.0,1.0,0.0,0.0,0.125,0.16,0.25,0.41,2022,44
streak,16,2022,롯데,6,2022-05-24,2022-05-29,2022,롯데,2022-05-26,9,0.194,1,39.0,31.0,5.0,6.0,1.0,0.0,1.0,10.0,5.0,0.0,1.0,8.0,5.0,6.0,0.0,1.0,12.0,0.0,2.0,0.0,0.194,0.324,0.323,0.647,2022,45
streak,16,2022,롯데,6,2022-05-24,2022-05-29,2022,롯데,2022-05-27,10,0.103,1,29.0,29.0,0.0,3.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,11.0,10.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.103,0.103,0.138,0.241,2022,46
streak,16,2022,롯데,6,2022-05-24,2022-05-29,2022,롯데,2022-05-28,9,0.167,1,38.0,36.0,3.0,6.0,1.0,0.0,0.0,7.0,2.0,2.0,0.0,12.0,7.0,2.0,0.0,0.0,10.0,1.0,0.0,0.0,0.167,0.211,0.194,0.405,2022,47
streak,16,2022,롯데,6,2022-05-24,2022-05-29,2022,롯데,2022-05-29,6,0.219,1,33.0,32.0,0.0,7.0,0.0,0.0,0.0,7.0,0.0,1.0,1.0,11.0,6.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,0.219,0.242,0.219,0.461,2022,48
streak,17,2022,롯데,7,2022-07-22,2022-07-29,2022,롯데,2022-07-22,4,0.25,1,34.0,32.0,2.0,8.0,2.0,0.0,1.0,13.0,2.0,0.0,0.0,9.0,11.0,2.0,0.0,0.0,4.0,3.0,0.0,0.0,0.25,0.294,0.406,0.7,2022,85
streak,17,2022,롯데,7,2022-07-22,2022-07-29,2022,롯데,2022-07-23,6,0.278,1,38.0,36.0,3.0,10.0,4.0,0.0,0.0,14.0,3.0,0.0,0.0,13.0,4.0,1.0,0.0,0.0,8.0,0.0,1.0,0.0,0.278,0.297,0.389,0.686,2022,86
streak,17,2022,롯데,7,2022-07-22,2022-07-29,2022,롯데,2022-07-24,10,0.152,1,34.0,33.0,0.0,5.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,9.0,8.0,1.0,0.0,0.0,11.0,0.0,0.0,0.0,0.152,0.176,0.182,0.358,2022,87
streak,17,2022,롯데,7,2022-07-22,2022-07-29,2022,롯데,2022-07-26,9,0.212,1,35.0,33.0,1.0,7.0,1.0,0.0,0.0,8.0,1.0,1.0,0.0,12.0,7.0,1.0,1.0,0.0,6.0,1.0,0.0,0.0,0.212,0.257,0.242,0.499,2022,88
streak,17,2022,롯데,7,2022-07-22,2022-07-29,2022,롯데,2022-07-27,4,0.316,1,46.0,38.0,5.0,12.0,1.0,0.0,0.0,13.0,5.0,2.0,0.0,11.0,8.0,7.0,0.0,0.0,7.0,0.0,1.0,0.0,0.316,0.422,0.342,0.764,2022,89
streak,17,2022,롯데,7,2022-07-22,2022-07-29,2022,롯데,2022-07-28,4,0.242,1,35.0,33.0,5.0,8.0,1.0,1.0,0.0,11.0,5.0,0.0,1.0,13.0,3.0,2.0,0.0,0.0,9.0,1.0,0.0,0.0,0.242,0.286,0.333,0.619,2022,90
streak,17,2022,롯데,7,2022-07-22,2022-07-29,2022,롯데,2022-07-29,3,0.317,1,44.0,41.0,7.0,13.0,5.0,1.0,2.0,26.0,7.0,0.0,1.0,8.0,12.0,2.0,0.0,0.0,8.0,0.0,0.0,1.0,0.317,0.341,0.634,0.975,2022,91
streak,18,2022,두산,4,2022-05-31,2022-06-03,2022,두산,2022-05-31,3,0.324,1,41.0,34.0,10.0,11.0,2.0,0.0,1.0,16.0,9.0,0.0,3.0,6.0,10.0,5.0,0.0,0.0,7.0,2.0,1.0,1.0,0.324,0.4,0.471,0.871,2022,48
streak,18,2022,두산,4,2022-05-31,2022-06-03,2022,두산,2022-06-01,6,0.219,1,37.0,32.0,3.0,7.0,1.0,0.0,0.0,8.0,3.0,1.0,1.0,10.0,8.0,5.0,0.0,0.0,7.0,2.0,0.0,0.0,0.219,0.324,0.25,0.574,2022,49
streak,18,2022,두산,4,2022-05-31,2022-06-03,2022,두산,2022-06-02,7,0.229,1,37.0,35.0,3.0,8.0,2.0,0.0,1.0,13.0,3.0,0.0,0.0,7.0,14.0,1.0,0.0,0.0,6.0,0.0,0.0,1.0,0.229,0.243,0.371,0.614,2022,50
streak,18,2022,두산,4,2022-05-31,2022-06-03,2022,두산,2022-06-03,4,0.265,1,37.0,34.0,5.0,9.0,3.0,0.0,2.0,18.0,5.0,0.0,1.0,8.0,11.0,3.0,0.0,0.0,5.0,0.0,0.0,0.0,0.265,0.324,0.529,0.853,2022,51
streak,19,2022,두산,4,2022-08-23,2022-08-26,2022,두산,2022-08-23,10,0.088,1,40.0,34.0,1.0,3.0,0.0,0.0,1.0,6.0,1.0,1.0,1.0,14.0,9.0,6.0,0.0,0.0,8.0,1.0,0.0,0.0,0.088,0.225,0.176,0.401,2022,105
streak,19,2022,두산,4,2022-08-23,2022-08-26,2022,두산,2022-08-24,9,0.182,1,33.0,33.0,1.0,6.0,2.0,0.0,1.0,11.0,1.0,0.0,0.0,9.0,9.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.182,0.182,0.333,0.515,2022,106
streak,19,2022,두산,4,2022-08-23,2022-08-26,2022,두산,2022-08-25,5,0.235,1,37.0,34.0,0.0,8.0,1.0,0.0,0.0,9.0,0.0,0.0,1.0,8.0,8.0,1.0,2.0,0.0,9.0,0.0,0.0,0.0,0.235,0.297,0.265,0.562,2022,107
streak,19,2022,두산,4,2022-08-23,2022-08-26,2022,두산,2022-08-26,8,0.167,1,35.0,30.0,1.0,5.0,1.0,0.0,0.0,6.0,1.0,0.0,1.0,10.0,4.0,4.0,0.0,0.0,10.0,0.0,1.0,0.0,0.167,0.265,0.2,0.465,2022,108
streak,20,2022,두산,5,2022-06-30,2022-07-05,2022,두산,2022-06-30,1,0.361,1,37.0,36.0,1.0,13.0,1.0,1.0,0.0,16.0,1.0,0.0,0.0,9.0,6.0,0.0,0.0,0.0,9.0,3.0,0.0,1.0,0.361,0.351,0.444,0.795,2022,71
streak,20,2022,두산,5,2022-06-30,2022-07-05,2022,두산,2022-07-01,2,0.357,1,45.0,42.0,7.0,15.0,4.0,0.0,0.0,19.0,5.0,0.0,0.0,8.0,7.0,2.0,1.0,0.0,11.0,1.0,0.0,0.0,0.357,0.4,0.452,0.852,2022,72
streak,20,2022,두산,5,2022-06-30,2022-07-05,2022,두산,2022-07-02,6,0.179,1,32.0,28.0,3.0,5.0,0.0,0.0,1.0,8.0,2.0,0.0,0.0,7.0,6.0,2.0,0.0,0.0,11.0,2.0,1.0,1.0,0.179,0.226,0.286,0.512,2022,73
streak,20,2022,두산,5,2022-06-30,2022-07-05,2022,두산,2022-07-03,9,0.161,1,31.0,31.0,0.0,5.0,2.0,0.0,0.0,7.0,0.0,0.0,0.0,8.0,6.0,0.0,0.0,0.0,11.0,1.0,0.0,0.0,0.161,0.161,0.226,0.387,2022,74
streak,20,2022,두산,5,2022-06-30,2022-07-05,2022,두산,2022-07-05,7,0.152,1,34.0,33.0,3.0,5.0,0.0,0.0,2.0,11.0,3.0,0.0,0.0,11.0,8.0,0.0,1.0,0.0,9.0,0.0,0.0,0.0,0.152,0.176,0.333,0.509,2022,75
streak,21,2022,두산,5,2022-09-02,2022-09-08,2022,두산,2022-09-02,4,0.273,1,38.0,33.0,4.0,9.0,1.0,0.0,1.0,13.0,4.0,0.0,0.0,6.0,5.0,5.0,0.0,0.0,12.0,3.0,0.0,0.0,0.273,0.368,0.394,0.762,2022,113
streak,21,2022,두산,5,2022-09-02,2022-09-08,2022,두산,2022-09-03,7,0.161,1,36.0,31.0,1.0,5.0,1.0,0.0,0.0,6.0,1.0,0.0,1.0,10.0,9.0,2.0,3.0,0.0,6.0,0.0,0.0,0.0,0.161,0.278,0.194,0.472,2022,114
streak,21,2022,두산,5,2022-09-02,2022-09-08,2022,두산,2022-09-06,9,0.206,1,35.0,34.0,3.0,7.0,3.0,0.0,0.0,10.0,3.0,0.0,0.0,10.0,8.0,1.0,0.0,0.0,9.0,0.0,0.0,0.0,0.206,0.229,0.294,0.523,2022,115
streak,21,2022,두산,5,2022-09-02,2022-09-08,2022,두산,2022-09-07,4,0.25,1,39.0,36.0,5.0,9.0,3.0,2.0,1.0,19.0,4.0,0.0,1.0,6.0,11.0,3.0,0.0,0.0,9.0,0.0,0.0,0.0,0.25,0.308,0.528,0.836,2022,116
streak,21,2022,두산,5,2022-09-02,2022-09-08,2022,두산,2022-09-08,8,0.194,1,38.0,31.0,4.0,6.0,1.0,0.0,1.0,10.0,4.0,1.0,1.0,11.0,9.0,5.0,0.0,0.0,5.0,0.0,1.0,1.0,0.194,0.297,0.323,0.62,2022,117
streak,22,2022,한화,4,2022-09-20,2022-09-23,2022,한화,2022-09-20,5,0.286,1,38.0,35.0,6.0,10.0,5.0,0.0,0.0,15.0,5.0,0.0,2.0,9.0,7.0,2.0,1.0,0.0,8.0,0.0,0.0,0.0,0.286,0.342,0.429,0.771,2022,130
streak,22,2022,한화,4,2022-09-20,2022-09-23,2022,한화,2022-09-21,10,0.161,1,32.0,31.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,10.0,5.0,1.0,0.0,0.0,10.0,1.0,0.0,0.0,0.161,0.188,0.161,0.349,2022,131
streak,22,2022,한화,4,2022-09-20,2022-09-23,2022,한화,2022-09-22,9,0.188,1,34.0,32.0,1.0,6.0,1.0,0.0,0.0,7.0,1.0,2.0,0.0,9.0,9.0,0.0,0.0,0.0,9.0,0.0,1.0,1.0,0.188,0.182,0.219,0.401,2022,132
